"ID" "Year" "LAI_Q75" "Municipality"
"Alytus.2007" 7 2007 3.57456660245962 "Alytus"
"Druskininkai.2007" 8 2007 2.675 "Druskininkai"
"Lazdijai.2007" 9 2007 3.30955071664829 "Lazdijai"
"Varena.2007" 10 2007 3.46230839179008 "Varena"
"Birstonas.2007" 11 2007 3.2290625 "Birstonas"
"Jonava.2007" 12 2007 3.81747036950964 "Jonava"
"Kedainiai.2007" 13 2007 3.81868555018927 "Kedainiai"
"Kaisiadorys.2007" 14 2007 3.9161320058997 "Kaisiadorys"
"Kaunas.2007" 15 2007 3.73811908736783 "Kaunas"
"Prienai.2007" 16 2007 3.6602759009009 "Prienai"
"Raseiniai.2007" 17 2007 3.7896124301676 "Raseiniai"
"Silute.2007" 18 2007 4.02530718879192 "Silute"
"Klaipeda.2007" 19 2007 3.66572827938671 "Klaipeda"
"Kretinga.2007" 20 2007 3.73332966791291 "Kretinga"
"Neringa.2007" 21 2007 2.57047619047619 "Neringa"
"Palanga.2007" 22 2007 3.87207977207977 "Palanga"
"Skuodas.2007" 23 2007 3.67043700340522 "Skuodas"
"Sakiai.2007" 24 2007 3.87374947603745 "Sakiai"
"Marijampole.2007" 25 2007 3.69031965006729 "Marijampole"
"Vilkaviskis.2007" 26 2007 3.6212962962963 "Vilkaviskis"
"Birzai.2007" 27 2007 3.66379511909981 "Birzai"
"Kupiskis.2007" 28 2007 3.64732751704773 "Kupiskis"
"Panevezys.2007" 29 2007 3.76749975230358 "Panevezys"
"Pasvalys.2007" 30 2007 3.74684877475663 "Pasvalys"
"Rokiskis.2007" 31 2007 3.77726913249787 "Rokiskis"
"Silale.2007" 32 2007 4.63518903591682 "Silale"
"Jurbarkas.2007" 33 2007 3.97620603015075 "Jurbarkas"
"Taurage.2007" 34 2007 4.37787573855244 "Taurage"
"Mazeikiai.2007" 35 2007 3.54965833867179 "Mazeikiai"
"Plunge.2007" 36 2007 4.47897493573265 "Plunge"
"Telsiai.2007" 37 2007 4.30372477620998 "Telsiai"
"Anyksciai.2007" 38 2007 3.90105685131195 "Anyksciai"
"Ignalina.2007" 39 2007 3.84717478052674 "Ignalina"
"Moletai.2007" 40 2007 4.00534955896766 "Moletai"
