"ID" "Year" "LAI_Med" "Municipality"
"Zarasai.2006" 42 2006 2.77559108691954 "Zarasai"
"Salcininkai.2006" 43 2006 2.59741989180191 "Salcininkai"
"Sirvintos.2006" 44 2006 2.65328574944622 "Sirvintos"
"Svencionys.2006" 45 2006 2.74106809411179 "Svencionys"
"Trakai.2006" 46 2006 2.66730352821297 "Trakai"
"Ukmerge.2006" 47 2006 2.58239544895449 "Ukmerge"
"Vilnius.2006" 48 2006 2.57912452188695 "Vilnius"
"Siauliai.2007" 1 2007 2.88268334280841 "Siauliai"
"Akmene.2007" 2 2007 2.73485128205128 "Akmene"
"Joniskis.2007" 3 2007 2.20951849786206 "Joniskis"
"Kelme.2007" 4 2007 3.1502783171521 "Kelme"
"Pakruojis.2007" 5 2007 2.34883150841641 "Pakruojis"
"Radviliskis.2007" 6 2007 2.57161654135338 "Radviliskis"
"Alytus.2007" 7 2007 2.818573079145 "Alytus"
"Druskininkai.2007" 8 2007 2.13404255319149 "Druskininkai"
"Lazdijai.2007" 9 2007 2.69160031847134 "Lazdijai"
"Varena.2007" 10 2007 2.85414474251704 "Varena"
"Birstonas.2007" 11 2007 2.5025 "Birstonas"
"Jonava.2007" 12 2007 2.76017046763419 "Jonava"
"Kedainiai.2007" 13 2007 2.52503904216554 "Kedainiai"
"Kaisiadorys.2007" 14 2007 2.98812079315991 "Kaisiadorys"
"Kaunas.2007" 15 2007 2.58904921412007 "Kaunas"
"Prienai.2007" 16 2007 2.84313725490196 "Prienai"
"Raseiniai.2007" 17 2007 2.71525541365908 "Raseiniai"
"Silute.2007" 18 2007 3.01654941373534 "Silute"
"Klaipeda.2007" 19 2007 2.84940544062551 "Klaipeda"
"Kretinga.2007" 20 2007 2.97020113686052 "Kretinga"
"Neringa.2007" 21 2007 2.04711111111111 "Neringa"
"Palanga.2007" 22 2007 2.64313253012048 "Palanga"
"Skuodas.2007" 23 2007 2.86214253290967 "Skuodas"
"Sakiai.2007" 24 2007 2.59282536151279 "Sakiai"
"Marijampole.2007" 25 2007 2.75236445983749 "Marijampole"
"Vilkaviskis.2007" 26 2007 2.44253439782572 "Vilkaviskis"
"Birzai.2007" 27 2007 2.82672200378622 "Birzai"
"Kupiskis.2007" 28 2007 2.75466879489226 "Kupiskis"
"Panevezys.2007" 29 2007 2.66336333398552 "Panevezys"
"Pasvalys.2007" 30 2007 2.26167142137943 "Pasvalys"
"Rokiskis.2007" 31 2007 2.81180722891566 "Rokiskis"
"Silale.2007" 32 2007 3.6605585959615 "Silale"
"Jurbarkas.2007" 33 2007 3.00709473985954 "Jurbarkas"
"Taurage.2007" 34 2007 3.40748074807481 "Taurage"
"Mazeikiai.2007" 35 2007 2.63873476250525 "Mazeikiai"
"Plunge.2007" 36 2007 3.51498346476723 "Plunge"
"Telsiai.2007" 37 2007 3.3740220961481 "Telsiai"
"Anyksciai.2007" 38 2007 2.95588128845458 "Anyksciai"
"Ignalina.2007" 39 2007 2.92534890776699 "Ignalina"
"Moletai.2007" 40 2007 3.03754711055276 "Moletai"
"Utena.2007" 41 2007 3.20434471661005 "Utena"
"Zarasai.2007" 42 2007 3.20396325905766 "Zarasai"
"Salcininkai.2007" 43 2007 2.98371480094327 "Salcininkai"
"Sirvintos.2007" 44 2007 3.03802608909673 "Sirvintos"
"Svencionys.2007" 45 2007 2.95243371094236 "Svencionys"
"Trakai.2007" 46 2007 3.06531652018851 "Trakai"
"Ukmerge.2007" 47 2007 2.9424815498155 "Ukmerge"
"Vilnius.2007" 48 2007 3.03207819804505 "Vilnius"
"Siauliai.2008" 1 2008 2.6257077885162 "Siauliai"
"Akmene.2008" 2 2008 2.57308717948718 "Akmene"
"Joniskis.2008" 3 2008 2.11833054471091 "Joniskis"
"Kelme.2008" 4 2008 2.68233009708738 "Kelme"
"Pakruojis.2008" 5 2008 2.13374734433731 "Pakruojis"
"Radviliskis.2008" 6 2008 2.27555048335123 "Radviliskis"
"Alytus.2008" 7 2008 2.60166088965916 "Alytus"
"Druskininkai.2008" 8 2008 1.94148936170213 "Druskininkai"
"Lazdijai.2008" 9 2008 2.5224389596603 "Lazdijai"
"Varena.2008" 10 2008 2.5729664452687 "Varena"
"Birstonas.2008" 11 2008 2.385 "Birstonas"
"Jonava.2008" 12 2008 2.75049527758581 "Jonava"
"Kedainiai.2008" 13 2008 2.41270171785528 "Kedainiai"
"Kaisiadorys.2008" 14 2008 2.99703474622521 "Kaisiadorys"
"Kaunas.2008" 15 2008 2.44963926822984 "Kaunas"
"Prienai.2008" 16 2008 2.78084033613445 "Prienai"
"Raseiniai.2008" 17 2008 2.37169627984453 "Raseiniai"
"Silute.2008" 18 2008 2.73806811836963 "Silute"
"Klaipeda.2008" 19 2008 2.52376608568171 "Klaipeda"
"Kretinga.2008" 20 2008 2.87262789680805 "Kretinga"
"Neringa.2008" 21 2008 1.86311111111111 "Neringa"
"Palanga.2008" 22 2008 2.48433734939759 "Palanga"
"Skuodas.2008" 23 2008 2.51019064911484 "Skuodas"
"Sakiai.2008" 24 2008 2.48574805339266 "Sakiai"
"Marijampole.2008" 25 2008 2.63788464100173 "Marijampole"
"Vilkaviskis.2008" 26 2008 2.25554611856633 "Vilkaviskis"
"Birzai.2008" 27 2008 2.60811125673511 "Birzai"
"Kupiskis.2008" 28 2008 2.60083798882682 "Kupiskis"
"Panevezys.2008" 29 2008 2.65959694775973 "Panevezys"
"Pasvalys.2008" 30 2008 2.07222688370532 "Pasvalys"
"Rokiskis.2008" 31 2008 2.66392771084337 "Rokiskis"
"Silale.2008" 32 2008 3.01581430458577 "Silale"
"Jurbarkas.2008" 33 2008 2.68275763222015 "Jurbarkas"
"Taurage.2008" 34 2008 3.07434910157682 "Taurage"
"Mazeikiai.2008" 35 2008 2.28476250525431 "Mazeikiai"
"Plunge.2008" 36 2008 3.08623759857543 "Plunge"
"Telsiai.2008" 37 2008 2.83811585547925 "Telsiai"
"Anyksciai.2008" 38 2008 2.66339727349499 "Anyksciai"
"Ignalina.2008" 39 2008 2.5442354368932 "Ignalina"
"Moletai.2008" 40 2008 2.61206030150754 "Moletai"
"Utena.2008" 41 2008 2.74083676023601 "Utena"
"Zarasai.2008" 42 2008 2.66232352440891 "Zarasai"
"Salcininkai.2008" 43 2008 2.70105423775836 "Salcininkai"
"Sirvintos.2008" 44 2008 2.83930593157765 "Sirvintos"
"Svencionys.2008" 45 2008 2.63374828831072 "Svencionys"
