"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"115" "Kaisiadorys" 2008 14 3.15411596464417 2.99703474622521 3.75380254424779 4.31968472758226 4.97957227138643 31.5
"116" "Kaisiadorys" 2009 14 3.16504241205983 2.99268692013826 3.8412933259587 4.41930309470776 5.10914454277286 31.6
"117" "Kaisiadorys" 2010 14 3.48261825768463 3.30867746043296 4.07541943215339 4.70825221004036 5.42531342182891 31.5
"118" "Kaisiadorys" 2011 14 3.35139944157367 3.19681644533382 4.00219395280236 4.639155601787 5.37885324483776 31.5
"119" "Kaisiadorys" 2012 14 3.40925878294518 3.23909405130071 4.05354443215339 4.66567846114657 5.39638643067847 32.6
"120" "Kaisiadorys" 2013 14 3.36960760222652 3.10522102965254 3.97342367256637 4.6765781678633 5.45307890855457 32.7
"121" "Kaisiadorys" 2014 14 3.30887414392392 3.1416227032927 3.9742671460177 4.5953834782132 5.28237463126844 32.8
"122" "Kaunas" 2004 15 2.80956216309702 2.42329296573048 3.3681125643523 3.94411297736188 4.68611381661333 32.6
"123" "Kaunas" 2005 15 3.06859539417804 2.61306364339088 3.8368825657437 4.49135800806557 5.18877139279254 32.7
"124" "Kaunas" 2006 15 2.64755916292788 2.22604998711672 3.33151175733964 4.02315151905406 4.73086127730625 32.7
"125" "Kaunas" 2007 15 3.10455727085318 2.58904921412007 3.73811908736783 4.43226349608528 5.14727323316639 32.7
"126" "Kaunas" 2008 15 2.84358724087543 2.44963926822984 3.42071855870896 4.05824150759177 4.7516694490818 32.7
"127" "Kaunas" 2009 15 2.93499121928588 2.52793094563257 3.57940664997218 4.18920840024285 4.8769755147468 32.7
"128" "Kaunas" 2010 15 3.22917579707438 2.82696469981963 3.89988522537563 4.53671118208748 5.21229827490262 32.7
"129" "Kaunas" 2011 15 3.05626996550411 2.6942282916774 3.70401015581525 4.33730244121753 5.04432387312187 32.7
"130" "Kaunas" 2012 15 3.15272414590758 2.72201752125741 3.85274415692821 4.50508068816557 5.2309265442404 32.8
"131" "Kaunas" 2013 15 3.16002310730295 2.67807266168513 3.84811839176405 4.60384390493466 5.38785475792988 32.5
"132" "Kaunas" 2014 15 3.16548780348446 2.78499098170575 3.91809265442404 4.5537952097111 5.22533388981636 32.5
"133" "Kedainiai" 2004 13 2.81596916357946 2.53403175429464 3.39167863203237 4.07319279110411 4.88104686072314 25.5
"134" "Kedainiai" 2005 13 3.03460342377749 2.61153045288912 3.85748270460775 4.63593656392777 5.41074272288213 25.5
"135" "Kedainiai" 2006 13 2.48707161944207 2.11764705882353 3.13051168254797 3.98777835513823 4.81947526432581 25.6
"136" "Kedainiai" 2007 13 3.05135097958359 2.52503904216554 3.81868555018927 4.65254927601458 5.41833964234434 25.6
"137" "Kedainiai" 2008 13 2.74764937650494 2.41270171785528 3.38765174259235 4.13705521153962 4.87857981986686 25.5
"138" "Kedainiai" 2009 13 2.87673997904516 2.55044247787611 3.57120806683201 4.25781098965674 4.99009267719619 25.6
"139" "Kedainiai" 2010 13 3.14237485175777 2.78083029672046 3.93631379715442 4.74091110625352 5.53589609711526 25.5
"140" "Kedainiai" 2011 13 2.98494618628119 2.69691566892244 3.68984140451638 4.4347160918332 5.22816864639081 25.5
"141" "Kedainiai" 2012 13 3.20258341866259 2.83092139510672 4.02437344994126 4.84844276266144 5.63297219684114 25.5
"142" "Kedainiai" 2013 13 3.13671446564574 2.67096564289433 3.91827111343167 4.78227255169802 5.59198538049863 25.1
"143" "Kedainiai" 2014 13 3.29667863025747 3.00782144716294 4.22998629421746 4.9582991755891 5.66546142801201 25.1
"144" "Kelme" 2004 4 2.88345922875825 2.58929449838188 3.49702272727273 4.13383896132878 4.92219480519481 26.2
"145" "Kelme" 2005 4 3.04202813196904 2.76066019417476 3.75372077922078 4.48830649214906 5.29622077922078 26.2
"146" "Kelme" 2006 4 2.66577415982286 2.27374757281553 3.38765584415584 4.11976493362328 4.92718181818182 30.2
"147" "Kelme" 2007 4 3.5237647358774 3.1502783171521 4.21328571428571 5.00698571517251 5.79463636363636 30.2
"148" "Kelme" 2008 4 2.88303534229119 2.68233009708738 3.48949025974026 4.1042753238678 4.77602597402597 30.2
"149" "Kelme" 2009 4 3.11462982684703 2.95113268608414 3.74913311688312 4.32271168754627 5.02811688311688 30.2
"150" "Kelme" 2010 4 3.51204754783456 3.3475857605178 4.2135974025974 4.88601168518562 5.63616883116883 31.1
"151" "Kelme" 2011 4 3.31038817315441 3.11905501618123 4.0696461038961 4.76806233723133 5.51388311688312 31.1
"152" "Kelme" 2012 4 3.36042060608944 3.17465372168285 4.02361688311688 4.68670259475708 5.44222077922078 31.1
"153" "Kelme" 2013 4 3.3027572297832 2.98178640776699 4.00966558441558 4.8536142854319 5.74806493506494 31.3
"154" "Kelme" 2014 4 3.3721835736774 3.20209708737864 4.12619155844156 4.78422986900032 5.51041558441558 31.4
"155" "Klaipeda" 2004 19 2.7821397039455 2.527251995439 3.28701873935264 3.73380067902489 4.32843270868825 23.8
