"ID" "Year" "LAI_Avg" "Municipality"
"Joniskis.2008" 3 2008 25.838014063191 "Joniskis"
"Kelme.2008" 4 2008 28.8303534229119 "Kelme"
"Pakruojis.2008" 5 2008 25.6244194382988 "Pakruojis"
"Radviliskis.2008" 6 2008 25.7160976280163 "Radviliskis"
"Alytus.2008" 7 2008 27.7738268168999 "Alytus"
"Druskininkai.2008" 8 2008 21.5572539203221 "Druskininkai"
"Lazdijai.2008" 9 2008 26.8347881136229 "Lazdijai"
"Varena.2008" 10 2008 26.5483176679656 "Varena"
"Birstonas.2008" 11 2008 24.6913607226107 "Birstonas"
"Jonava.2008" 12 2008 29.9260495811158 "Jonava"
"Kedainiai.2008" 13 2008 27.4764937650494 "Kedainiai"
"Kaisiadorys.2008" 14 2008 31.5411596464417 "Kaisiadorys"
"Kaunas.2008" 15 2008 28.4358724087543 "Kaunas"
"Prienai.2008" 16 2008 29.1232917795418 "Prienai"
"Raseiniai.2008" 17 2008 25.8129946593599 "Raseiniai"
"Silute.2008" 18 2008 29.5272060335163 "Silute"
"Klaipeda.2008" 19 2008 26.8013225162118 "Klaipeda"
"Kretinga.2008" 20 2008 28.6987425301039 "Kretinga"
"Neringa.2008" 21 2008 20.3778790653791 "Neringa"
"Palanga.2008" 22 2008 29.510431401457 "Palanga"
"Skuodas.2008" 23 2008 26.6537073344111 "Skuodas"
"Sakiai.2008" 24 2008 27.1738019238613 "Sakiai"
"Marijampole.2008" 25 2008 28.2578869265175 "Marijampole"
"Vilkaviskis.2008" 26 2008 25.1775489378536 "Vilkaviskis"
"Birzai.2008" 27 2008 27.6313135794175 "Birzai"
"Kupiskis.2008" 28 2008 27.8159809588059 "Kupiskis"
"Panevezys.2008" 29 2008 28.9076884109208 "Panevezys"
"Pasvalys.2008" 30 2008 24.1962333445339 "Pasvalys"
"Rokiskis.2008" 31 2008 28.2172735147671 "Rokiskis"
"Silale.2008" 32 2008 32.1579587609408 "Silale"
"Jurbarkas.2008" 33 2008 28.1861000134905 "Jurbarkas"
"Taurage.2008" 34 2008 32.1546390611891 "Taurage"
"Mazeikiai.2008" 35 2008 24.791141942263 "Mazeikiai"
"Plunge.2008" 36 2008 31.6254582003971 "Plunge"
"Telsiai.2008" 37 2008 29.7368152216468 "Telsiai"
"Anyksciai.2008" 38 2008 28.4599778080008 "Anyksciai"
"Ignalina.2008" 39 2008 28.7962043494326 "Ignalina"
"Moletai.2008" 40 2008 28.7249772719023 "Moletai"
"Utena.2008" 41 2008 29.692354714398 "Utena"
"Zarasai.2008" 42 2008 29.7629034308737 "Zarasai"
"Salcininkai.2008" 43 2008 28.1264498668795 "Salcininkai"
"Sirvintos.2008" 44 2008 30.2308694085751 "Sirvintos"
"Svencionys.2008" 45 2008 28.2069498910359 "Svencionys"
"Trakai.2008" 46 2008 29.7814577535851 "Trakai"
"Ukmerge.2008" 47 2008 30.2987981297213 "Ukmerge"
"Vilnius.2008" 48 2008 30.6101307576703 "Vilnius"
"Siauliai.2009" 1 2009 29.0751840364995 "Siauliai"
"Akmene.2009" 2 2009 27.7543743875075 "Akmene"
"Joniskis.2009" 3 2009 24.5049179721791 "Joniskis"
"Kelme.2009" 4 2009 31.1462982684703 "Kelme"
"Pakruojis.2009" 5 2009 25.1990890451165 "Pakruojis"
"Radviliskis.2009" 6 2009 27.5110574965913 "Radviliskis"
"Alytus.2009" 7 2009 29.4651416745616 "Alytus"
"Druskininkai.2009" 8 2009 23.3462068234796 "Druskininkai"
"Lazdijai.2009" 9 2009 28.2040119545253 "Lazdijai"
"Varena.2009" 10 2009 28.8455491387552 "Varena"
"Birstonas.2009" 11 2009 25.2623615967366 "Birstonas"
"Jonava.2009" 12 2009 30.1021954773349 "Jonava"
"Kedainiai.2009" 13 2009 28.7673997904516 "Kedainiai"
"Kaisiadorys.2009" 14 2009 31.6504241205983 "Kaisiadorys"
"Kaunas.2009" 15 2009 29.3499121928588 "Kaunas"
"Prienai.2009" 16 2009 30.1688858037816 "Prienai"
"Raseiniai.2009" 17 2009 28.691391844887 "Raseiniai"
"Silute.2009" 18 2009 30.9057126599731 "Silute"
"Klaipeda.2009" 19 2009 29.5369160746503 "Klaipeda"
"Kretinga.2009" 20 2009 30.2642757958021 "Kretinga"
"Neringa.2009" 21 2009 21.4072064047064 "Neringa"
"Palanga.2009" 22 2009 31.2950922771436 "Palanga"
"Skuodas.2009" 23 2009 28.2128111111993 "Skuodas"
"Sakiai.2009" 24 2009 28.2608708680666 "Sakiai"
"Marijampole.2009" 25 2009 29.3431736354718 "Marijampole"
"Vilkaviskis.2009" 26 2009 27.176468262541 "Vilkaviskis"
"Birzai.2009" 27 2009 29.6654402691338 "Birzai"
"Kupiskis.2009" 28 2009 29.1711645042572 "Kupiskis"
"Panevezys.2009" 29 2009 29.5942763454826 "Panevezys"
"Pasvalys.2009" 30 2009 25.0664239135412 "Pasvalys"
"Rokiskis.2009" 31 2009 29.4811655027861 "Rokiskis"
"Silale.2009" 32 2009 35.8564454050465 "Silale"
"Jurbarkas.2009" 33 2009 30.0317025966775 "Jurbarkas"
"Taurage.2009" 34 2009 33.5029330057764 "Taurage"
"Mazeikiai.2009" 35 2009 27.1988705033548 "Mazeikiai"
"Plunge.2009" 36 2009 34.3191076011963 "Plunge"
"Telsiai.2009" 37 2009 31.9667084916971 "Telsiai"
"Anyksciai.2009" 38 2009 30.7998647543473 "Anyksciai"
"Ignalina.2009" 39 2009 30.5857453502426 "Ignalina"
"Moletai.2009" 40 2009 31.5251041373959 "Moletai"
"Utena.2009" 41 2009 33.0359618905156 "Utena"
"Zarasai.2009" 42 2009 32.6028938927682 "Zarasai"
"Salcininkai.2009" 43 2009 30.9242423512059 "Salcininkai"
"Sirvintos.2009" 44 2009 32.2171505738037 "Sirvintos"
"Svencionys.2009" 45 2009 29.935393958338 "Svencionys"
"Trakai.2009" 46 2009 31.4165973958363 "Trakai"
"Ukmerge.2009" 47 2009 31.2763992636103 "Ukmerge"
"Vilnius.2009" 48 2009 32.2019224385916 "Vilnius"
"Siauliai.2010" 1 2010 32.9271930774277 "Siauliai"
"Akmene.2010" 2 2010 30.0280726119913 "Akmene"
"Joniskis.2010" 3 2010 29.7103810817398 "Joniskis"
"Kelme.2010" 4 2010 35.1204754783456 "Kelme"
"Pakruojis.2010" 5 2010 29.2925952092701 "Pakruojis"
"Radviliskis.2010" 6 2010 30.3619863269378 "Radviliskis"
"Alytus.2010" 7 2010 31.8256941552275 "Alytus"
"Druskininkai.2010" 8 2010 25.3268740728968 "Druskininkai"
"Lazdijai.2010" 9 2010 30.5924656731851 "Lazdijai"
"Varena.2010" 10 2010 31.7660513358162 "Varena"
"Birstonas.2010" 11 2010 27.4794871794872 "Birstonas"
"Jonava.2010" 12 2010 33.4875610958383 "Jonava"
"Kedainiai.2010" 13 2010 31.4237485175777 "Kedainiai"
"Kaisiadorys.2010" 14 2010 34.8261825768463 "Kaisiadorys"
"Kaunas.2010" 15 2010 32.2917579707438 "Kaunas"
"Prienai.2010" 16 2010 32.7909128607045 "Prienai"
"Raseiniai.2010" 17 2010 32.6490092290546 "Raseiniai"
"Silute.2010" 18 2010 34.1186745574004 "Silute"
"Klaipeda.2010" 19 2010 32.7697791107246 "Klaipeda"
"Kretinga.2010" 20 2010 32.8345755733649 "Kretinga"
"Neringa.2010" 21 2010 23.6830297480297 "Neringa"
"Palanga.2010" 22 2010 33.7791084746213 "Palanga"
